,listing_id,f,t,popularity
319,1401625,6.0,359.0,0.01643835616438356
320,1403408,117.0,248.0,0.32054794520547947
321,1421610,356.0,9.0,0.9753424657534246
322,1425973,0.0,365.0,0.0
323,1426711,76.0,289.0,0.20821917808219179
324,1426754,65.0,300.0,0.1780821917808219
325,1428355,290.0,75.0,0.7945205479452054
326,1436513,267.0,98.0,0.7315068493150685
327,1445064,115.0,250.0,0.3150684931506849
328,1454258,39.0,326.0,0.10684931506849316
329,1458081,45.0,320.0,0.1232876712328767
330,1471308,68.0,297.0,0.1863013698630137
331,1471373,66.0,299.0,0.18082191780821918
332,1472481,88.0,277.0,0.2410958904109589
333,1472520,88.0,277.0,0.2410958904109589
334,1489289,117.0,248.0,0.32054794520547947
335,1494726,10.0,355.0,0.0273972602739726
336,1497879,302.0,63.0,0.8273972602739726
337,1498719,29.0,336.0,0.07945205479452055
338,1510876,80.0,285.0,0.2191780821917808
339,1523772,0.0,365.0,0.0
340,1525494,52.0,313.0,0.14246575342465753
341,1529321,109.0,256.0,0.29863013698630136
342,1529393,0.0,365.0,0.0
343,1541166,114.0,251.0,0.31232876712328766
344,1544702,96.0,269.0,0.26301369863013696
345,1545185,28.0,337.0,0.07671232876712329
346,1550047,56.0,309.0,0.15342465753424658
347,1551205,8.0,357.0,0.021917808219178082
348,1551467,117.0,248.0,0.32054794520547947
349,1584362,107.0,258.0,0.29315068493150687
350,1587540,351.0,14.0,0.9616438356164384
351,1589392,185.0,180.0,0.5068493150684932
352,1591827,117.0,248.0,0.32054794520547947
353,1596470,50.0,315.0,0.136986301369863
354,1602491,25.0,340.0,0.0684931506849315
355,1612842,5.0,360.0,0.0136986301369863
356,1615033,50.0,315.0,0.136986301369863
357,1628130,365.0,0.0,1.0
358,1631942,141.0,224.0,0.3863013698630137
359,1638584,331.0,34.0,0.9068493150684932
360,1644031,309.0,56.0,0.8465753424657534
361,1648950,335.0,30.0,0.9178082191780822
362,1658983,130.0,235.0,0.3561643835616438
363,1668313,24.0,341.0,0.06575342465753424
364,1692573,62.0,303.0,0.16986301369863013
365,1695275,139.0,226.0,0.38082191780821917
366,1701741,0.0,365.0,0.0
367,1704090,45.0,320.0,0.1232876712328767
368,1717816,25.0,340.0,0.0684931506849315
369,1721016,17.0,348.0,0.04657534246575343
370,1724900,59.0,306.0,0.16164383561643836
371,1731639,27.0,338.0,0.07397260273972603
372,1732804,18.0,347.0,0.049315068493150684
373,1745339,329.0,36.0,0.9013698630136986
374,1754939,352.0,13.0,0.9643835616438357
375,1755376,1.0,364.0,0.0027397260273972603
376,1757417,321.0,44.0,0.8794520547945206
377,1758953,59.0,306.0,0.16164383561643836
378,1775935,5.0,360.0,0.0136986301369863
379,1776190,1.0,364.0,0.0027397260273972603
380,1803138,36.0,329.0,0.09863013698630137
381,1810172,55.0,310.0,0.1506849315068493
382,1810397,31.0,334.0,0.08493150684931507
383,1811776,283.0,82.0,0.7753424657534247
384,1815326,30.0,335.0,0.0821917808219178
385,1819994,37.0,328.0,0.10136986301369863
386,1821633,38.0,327.0,0.10410958904109589
387,1827762,351.0,14.0,0.9616438356164384
388,1835533,365.0,0.0,1.0
389,1839549,221.0,144.0,0.6054794520547945
390,1840255,161.0,204.0,0.4410958904109589
391,1850260,15.0,350.0,0.0410958904109589
392,1861070,3.0,362.0,0.00821917808219178
393,1863443,217.0,148.0,0.5945205479452055
394,1864705,282.0,83.0,0.7726027397260274
395,1867754,217.0,148.0,0.5945205479452055
396,1867881,181.0,184.0,0.4958904109589041
397,1868124,282.0,83.0,0.7726027397260274
398,1868513,360.0,5.0,0.9863013698630136
399,1873046,57.0,308.0,0.15616438356164383
400,1881180,47.0,318.0,0.12876712328767123
401,1881298,99.0,266.0,0.27123287671232876
402,1884045,51.0,314.0,0.13972602739726028
403,1885386,58.0,307.0,0.1589041095890411
404,1885825,67.0,298.0,0.18356164383561643
405,1886037,365.0,0.0,1.0
406,1887507,350.0,15.0,0.958904109589041
407,1887581,30.0,335.0,0.0821917808219178
408,1899770,365.0,0.0,1.0
409,1902160,117.0,248.0,0.32054794520547947
410,1912940,113.0,252.0,0.3095890410958904
411,1929406,197.0,168.0,0.5397260273972603
412,1936861,10.0,355.0,0.0273972602739726
413,1937433,365.0,0.0,1.0
414,1944976,365.0,0.0,1.0
415,1948096,44.0,321.0,0.12054794520547946
416,1949996,363.0,2.0,0.9945205479452055
417,1956275,56.0,309.0,0.15342465753424658
418,1961034,365.0,0.0,1.0
419,1964878,217.0,148.0,0.5945205479452055
420,1966195,327.0,38.0,0.8958904109589041
421,2000797,36.0,329.0,0.09863013698630137
422,2014651,7.0,358.0,0.019178082191780823
423,2014882,56.0,309.0,0.15342465753424658
424,2016500,365.0,0.0,1.0
425,2021274,22.0,343.0,0.06027397260273973
426,2021483,5.0,360.0,0.0136986301369863
427,2021489,10.0,355.0,0.0273972602739726
428,2022303,54.0,311.0,0.14794520547945206
429,2043261,117.0,248.0,0.32054794520547947
430,2043529,81.0,284.0,0.2219178082191781
